,No.,Name,Yr.,Ht.,Wt.,DOB,Hometown,Position,Height_Inches,Draft_Year,NHL_Team,D_Round,Last Team,League,School
,12,"Nazzarett, Zachary",So,5-8,161,8/25/2000,"Cheektowaga, N.Y.",Forwards,68,,,,Alaska-Anchorage,WCHA,Long-Island
,18,"Osik, Derek",Sr,6-0,180,3/30/1998,"Shrewsbury, Mass.",Forwards,72,,,,Mass.-Lowell,HEA,Long-Island
,19,"Quinn, Jack",So,6-0,181,12/28/1999,"Lancaster, Mass.",Forwards,72,,,,Kenai River Brown,NAHL,Long-Island
,10,"Schachle, Tanner",Sr,6-4,185,6/20/1997,"Wasilla, Alaska",Forwards,76,,,,Alaska-Anchorage,WCHA,Long-Island
,55,"Schuett, Dylan",Fr,6-1,205,9/24/2000,"Medicine Hat, Alb.",Forwards,73,,,,Northeast,NAHL,Long-Island
,42,"Thompson, Justin",Fr,5-11,174,6/14/2000,"Maplewood, Minn.",Forwards,71,,,,Janesville,NAHL,Long-Island
,5,"Timmons, Jordan",Jr,6-0,165,10/25/1998,"Bridgeville, Pa.",Forwards,72,,,,Connecticut,HEA,Long-Island
,17,"Welsh, Nolan",So,6-0,161,6/23/1999,"Whistler, B.C.",Forwards,72,,,,Prince George,BCHL,Long-Island
,21,"Welsh, Tyler",Sr,5-11,174,3/7/1997,"Whistler, B.C.",Forwards,71,,,,Yale,ECAC,Long-Island
,16,"Westhaver, Marty",Fr,5-11,185,3/15/1999,"Victoria, B.C.",Forwards,71,,,,Victoria,BCHL,Long-Island
,14,"White, Aaron",So,5-10,174,6/3/1999,"Toledo, Ohio",Forwards,70,,,,Amarillo,NAHL,Long-Island
,1,"Carlson, Kris",Sr,6-2,196,8/19/1997,"Centerville, Va.",Goaltenders,74,,,,Providence,HEA,Long-Island
,35,"Perrone, Brandon",Jr,5-9,175,10/26/1998,"Hauppauge, N.Y.",Goaltenders,69,,,,Alaska-Anchorage,WCHA,Long-Island
,29,"Purpura, Vinnie",Sr,6-6,194,10/29/1998,"Lemont, Ill.",Goaltenders,78,,,,Boston University,HEA,Long-Island
,7,"Attard, Ronnie",Jr,6-4,210,3/20/1999,"White Lake, Mich.",Defensemen,76,2019,PHI,3,Tri-City,USHL,Western-Michigan
,2,"Bauer, Jacob",So,6-3,202,2/25/2002,"Detroit, Mich.",Defensemen,75,,,,Lincoln,USHL,Western-Michigan
,6,"Brickey, Scooter",Jr,6-3,207,5/27/1999,"Burtchville, Mich.",Defensemen,75,,,,Des Moines,USHL,Western-Michigan
,17,"Fiedler, Cedric",So,6-3,204,4/20/2001,"Zug, Switzerland",Defensemen,75,,,,Fargo,USHL,Western-Michigan
,24,"Fulp, Aidan",So,6-3,210,2/29/2000,"Indianapolis, Ind.",Defensemen,75,,,,Dubuque,USHL,Western-Michigan
,4,"Gurney, Xan",Fr,6-3,200,5/28/2000,"Grosse Ile, Mich.",Defensemen,75,,,,Western Michigan,NCHC,Western-Michigan
,15,"Hilsendager, Daniel",So,6-1,200,3/30/2000,"Lloydminster, Sask.",Defensemen,73,,,,Omaha,USHL,Western-Michigan
,3,"Joyaux, Michael",Sr,5-10,187,2/13/1997,"Bloomingdale, Ill.",Defensemen,70,,,,Youngstown,USHL,Western-Michigan
,25,"Kucharek, Jared",Sr,6-4,203,5/23/1998,"Royal Oak, Mich.",Defensemen,76,,,,Western Michigan,NCHC,Western-Michigan
,55,"Strom, Nick",Fr,6-0,185,3/21/2000,"Dayton, Minn.",Defensemen,72,,,,Fargo,USHL,Western-Michigan
,22,"Bishop, Trevor",So,6-0,185,1/23/1999,"Rochester Hills, Mich.",Forwards,72,,,,Victoria,BCHL,Western-Michigan
,26,"Frank, Ethen",Sr,5-11,185,2/5/1998,"Papillion, Neb.",Forwards,71,,,,Lincoln,USHL,Western-Michigan
,12,"Gallant, Cole",Sr,5-10,190,3/14/1998,"Dover, Fla.",Forwards,70,,,,Omaha,USHL,Western-Michigan
,27,"Glover, Ty",So,6-3,200,10/1/2000,"London, Ont.",Forwards,75,,,,Lincoln,USHL,Western-Michigan
,9,"Grainger, Luke",So,5-10,180,9/3/1999,"Montreal, Que.",Forwards,70,,,,Hawkesbury,CCHL,Western-Michigan
,10,"Hillebrand, Chad",So,6-4,200,1/22/1999,"Park Ridge, Ill.",Forwards,76,,,,Green Bay,USHL,Western-Michigan
,24,"Kingston, Rhett",Jr,6-1,195,11/4/1997,"Black Diamon, Alb.",Forwards,73,,,,Salmon Arm,USHL,Western-Michigan
,19,"Knuble, Cam",So,6-0,200,7/23/2000,"Grand Rapids, Mich.",Forwards,72,,,,Muskegon,USHL,Western-Michigan
,28,"Larkin, Hugh",So,6-2,205,3/27/1999,"Livonia, Mich.",Forwards,74,,,,Austin,NAHL,Western-Michigan
,21,"Passolt, Josh",Sr,6-0,195,6/13/1996,"Hayward, Wis.",Forwards,72,,,,Sioux Falls,USHL,Western-Michigan
,8,"Pecchia, Matteo",So,5-11,192,6/5/2000,"Nobelton, Ont.",Forwards,71,,,,Mississauga,OJHL,Western-Michigan
,14,"Polin, Jason",Jr,6-0,198,6/17/1999,"Holt, Mich.",Forwards,72,,,,Cedar Rapids,USHL,Western-Michigan
,20,"Rome, Jamie",Sr,6-2,211,10/3/1998,"Cochrane, Alb.",Forwards,74,,,,Victoria,BCHL,Western-Michigan
,34,"Sasson, Max",Fr,6-1,185,9/5/2000,"Birmingham, Mich.",Forwards,73,,,,Waterloo,USHL,Western-Michigan
,18,"Schingoethe, Wyatt",Fr,5-11,180,8/3/2002,"Algonquin, Ill.",Forwards,71,2020,TOR,7,Waterloo,USHL,Western-Michigan
,16,"Washe, Tim",So,6-3,210,8/25/2001,"Clarkston, Mich.",Forwards,75,,,,Nanaimo,BCHL,Western-Michigan
,37,"Wendt, Dylan",Fr,6-1,185,1/9/2001,"Grand Haven, Mich.",Forwards,73,,,,Muskegon,USHL,Western-Michigan
,13,"Worrad, Drew",Sr,6-2,186,6/30/1997,"Birr, Ont.",Forwards,74,,,,Steinbach,MJHL,Western-Michigan
,35,"Aslanidis, Alexandros",So,6-5,205,1/20/2001,"Morristown, N.J.",Goaltenders,77,,,,Western Michigan,NCHC,Western-Michigan
,30,"Bussi, Brandon",Jr,6-5,210,6/25/1998,"Sound Beach, N.Y.",Goaltenders,77,,,,Muskegon,USHL,Western-Michigan
,31,"Hawryluk, Ross",So,6-5,210,3/19/2001,"Lloydminster, Alb.",Goaltenders,77,,,,Nipawin,SJHL,Western-Michigan
,4,"Callahan, Brett",Jr,5-10,182,10/16/1998,"Westmont, Ill.",Defensemen,70,,,,Jersey Hitmen,USPHL,American-Intl
,17,"Galambos, Zak",Jr,6-2,185,5/27/1997,"Walnut Creek, Calif.",Defensemen,74,,,,American Int'l,AHA,American-Intl
,7,"Kramer, Brian",So,5-11,181,7/20/2000,"Wexford, Pa.",Defensemen,71,,,,Fargo,USHL,American-Intl
,8,"Lindner, Luis",Fr,5-11,170,5/16/2001,"Spittal an der Drau, AUT",Defensemen,71,,,,American Int'l,AHA,American-Intl
,22,"Revering, Parker (C)",Sr,6-1,200,1/11/1997,"Alexandria, Minn.",Defensemen,73,,,,Brookings,NAHL,American-Intl
,6,"Rickard, Matt",So,6-0,170,7/28/1999,"Coventry, R.I.",Defensemen,72,,,,Lone Star,NAHL,American-Intl
,2,"Somerville, Nico",So,5-9,190,4/8/1999,"Nanaimo, B.C.",Defensemen,69,,,,Penticton,BCHL,American-Intl
,37,"Stella, Evan",Fr,5-10,180,5/11/2001,"Karlstad, Sweden",Defensemen,70,,,,Dubuque,USHL,American-Intl
,5,"Tertyshny, Alexander",Fr,6-0,175,1/3/2000,"Philadelphia, Pa.",Defensemen,72,,,,American Int'l,AHA,American-Intl
,19,"Barriga, Elijiah",Sr,5-11,193,5/16/1996,"West Covina, Calif.",Forwards,71,,,,UNLV,ACHA,American-Intl
,9,"Bennett, Blake",Jr,5-8,195,7/1/1998,"Grand Island, N.Y.",Forwards,68,,,,Corpus Christi,NAHL,American-Intl
,21,"Cole, Justin",Sr,6-3,205,5/1/1996,"Bryn Athyn, Pa.",Forwards,75,,,,Cedar Rapids,USHL,American-Intl
,55,"Dodero, Chris",Gr,5-9,176,6/8/1996,"West Chicago, Ill.",Forwards,69,,,,Janesville,NAHL,American-Intl
,23,"Grounds, Aaron",So,6-2,190,12/24/1999,"Jamestown, N.D.",Forwards,74,,,,American Int'l,AHA,American-Intl
,13,"Hartikainen, Santeri",Jr,6-2,190,1/5/1999,"Helsinki, Finland",Forwards,74,,,,Corpus Christi,NAHL,American-Intl
,11,"Janhonen, Julius",So,6-1,180,3/5/1999,"Espoo, Finland",Forwards,73,,,,HIFK U20,Europe,American-Intl
,27,"Johannes, Hunter",Jr,6-3,210,7/24/1998,"Eden Prairie, Minn.",Forwards,75,,,,Lindenwood,DI Independent,American-Intl
,29,"Lakoduk, Darwin",Jr,5-10,157,1/8/2000,"Edmonton, Alb.",Forwards,70,,,,Penticton,BCHL,American-Intl
,44,"Long, Austen",Jr,5-11,175,2/15/1998,"Minneapolis, Minn.",Forwards,71,,,,Omaha,USHL,American-Intl
,25,"Maver, Luka",Sr,6-3,195,10/25/1997,"Ljubljana, Slovenia",Forwards,75,,,,Lincoln Stars,USHL,American-Intl
,16,"Millette, Reggie",Fr,5-11,195,4/10/2000,"Jacksonville, Fla.",Forwards,71,,,,Austin,NAHL,American-Intl
,12,"Otto, Eric",Jr,6-1,175,7/19/1997,"Burnsville, Minn.",Forwards,73,,,,Chicago,USHL,American-Intl
,24,"Purcell, Zach",Fr,5-9,170,6/13/2000,"Aurora, Colo.",Forwards,69,,,,Lone Star,NAHL,American-Intl
,10,"Rigali, Brian",Gr,5-8,185,3/17/1997,"Libertyville, Ill.",Forwards,68,,,,Sioux City,USHL,American-Intl
,28,"Stella, Jake",Jr,5-11,185,11/14/1998,"Karlstad, Sweden",Forwards,71,,,,American Int'l,Atlantic Hockey,American-Intl
,26,"Theodore, Chris",Sr,5-7,180,10/15/1997,"Beaconsfield, Que.",Forwards,67,,,,Union,ECAC,American-Intl
,20,"Van Os-Shaw, Chris",Sr,6-2,200,5/20/1997,"Regina, Sask.",Forwards,74,,,,Minnesota State,WCHA,American-Intl
,39,"Young, Justin",Gr,6-0,184,3/24/1997,"Leduc, Alb.",Forwards,72,,,,Alaska,WCHA,American-Intl
,30,"Calvaruso, Alec",Gr,6-2,190,5/13/1998,"Livonia, Mich.",Goaltenders,74,,,,Colorado College,NCHC,American-Intl
,33,"Fiske, Jarrett",Jr,6-4,190,5/28/1999,"Erie, Pa.",Goaltenders,76,,,,American Int'l,AHA,American-Intl
,1,"Kucharski, Jake",So,6-4,220,9/25/1999,"Erie, Pa.",Goaltenders,76,2018,CAR,7,American Int'l,AHA,American-Intl
,34,"McInchak, Ryan",So,6-0,175,2/28/1999,"Trenton, Mich.",Goaltenders,72,,,,American Int'l,AHA,American-Intl
,5,"Babiak, Cam",Jr,6-0,190,4/30/1999,"Saline, Mich.",Defensemen,72,,,,Brookings,NAHL,Bowling-Green
,26,"Chicoine, Gabriel",Sr,5-11,195,2/5/1997,"St-Dominique, Que.",Defensemen,71,,,,Norwich,NEHC,Bowling-Green
,23,"Coyle, Max",Jr,6-1,195,1/29/1998,"Tillsonburg, Ont.",Defensemen,73,,,,Ala.-Huntsville,WCHA,Bowling-Green
,4,"Daly, Garrett",Jr,6-0,195,8/11/1999,"Lakeville, Minn.",Defensemen,72,,,,Langley,BCHL,Bowling-Green
,7,"Lloyd, T.J.",Jr,5-9,172,11/15/1999,"Lloydminster, Sask.",Defensemen,69,,,,Bowling Green,CCHA,Bowling-Green
,33,"Malmstrom, Anton",So,6-4,203,3/18/2000,"Österhaninge, Sweden",Defensemen,76,,,,Djurgårdens IF,Europe,Bowling-Green
,24,"Parker, Eric",Fr,6-2,185,1/15/2001,"Calgary, Alb.",Defensemen,74,,,,Okotoks,AJHL,Bowling-Green
,2,"Wozney, Ben",Fr,6-2,174,6/15/2001,"Richmond, B.C.",Defensemen,74,,,,Penticton,BCHL,Bowling-Green
,6,"Barber, Alex (C)",Sr,5-10,165,2/17/1999,"Dublin, Ohio",Forwards,70,,,,Central Illinois,USHL,Bowling-Green
,10,"Burke, Nathan",Sr,6-2,190,12/21/1998,"Scottsdale, Ariz.",Forwards,74,,,,Minnesota,Big10,Bowling-Green
,8,"Collin, Chrystopher",So,5-11,174,5/5/1999,"Montreal, Que.",Forwards,71,,,,Edmundston,MHL,Bowling-Green
,13,"Conquest, Adam",Jr,6-0,190,5/10/2000,"Brighton, Mich.",Forwards,72,,,,Bowling Green,CCHA,Bowling-Green
,25,"Craggs, Sam",Sr,6-1,200,2/11/1997,"Elmhurst, Ill.",Forwards,73,,,,Youngstown,USHL,Bowling-Green
,29,"Danol, Chase",Jr,6-1,195,1/20/1999,"Westland, Mich.",Forwards,73,,,,Coquitlam,BCHL,Bowling-Green
,15,"Dougherty, Evan",Sr,6-1,182,4/17/1999,"Kalamazoo, Mich.",Forwards,73,,,,Waterloo,USHL,Bowling-Green
,21,"Fyten, Seth",So,6-2,187,11/23/2000,"Didsbury, Alb.",Forwards,74,,,,Spruce Grove,AJHL,Bowling-Green
,16,"Krieger, Brayden",Fr,6-0,160,2/9/2001,"Elora, Ont.",Forwards,72,,,,Brooks,AJHL,Bowling-Green
,14,"Norris, Coale",Sr,6-2,194,5/25/1997,"Oxford, Mich.",Forwards,74,,,,Ferris State,WCHA,Bowling-Green
,20,"O'Hara, Ryan",Fr,5-10,175,7/18/2001,"Oakville, Ont.",Forwards,70,,,,Waterloo,USHL,Bowling-Green
,22,"Pitters, Adam",Jr,5-11,180,2/9/1999,"Grosse Pointe, Mich.",Forwards,71,,,,Bowling Green,CCHA,Bowling-Green
,17,"Scardina, Ethan",So,6-1,194,11/2/2000,"South Surrey, B.C.",Forwards,73,,,,Nanaimo,BCHL,Bowling-Green
,27,"Schneider, Spencer",Fr,6-0,190,9/11/2000,"Lakeville, Minn.",Forwards,72,,,,Aberdeen,NAHL,Bowling-Green
,11,"Schneider, Taylor",Sr,6-1,185,2/18/1998,"Lakeville, Minn.",Forwards,73,,,,Dubuque,USHL,Bowling-Green
,18,"St-Jean, Trevor",Sr,5-8,173,10/10/1997,"Findlay, Ohio",Forwards,68,,,,Langley,BCHL,Bowling-Green
,12,"Swankler, Austen",Fr,6-0,185,8/21/2001,"North Huntingdon, Pa.",Forwards,72,,,,Bowling Green,CCHA,Bowling-Green
,31,"Eigner, Pete",Fr,6-1,190,5/4/2002,"Bowling Green, Ohio",Goaltenders,73,,,,Tri-State,Midget AAA,Bowling-Green
,35,"Evola, Salvatore",Fr,6-0,175,4/24/2001,"Rochester, Mich.",Goaltenders,72,,,,Johnstown,NAHL,Bowling-Green
,40,"Rose, Zack",Jr,6-1,185,7/3/1999,"Paradise, Newf.",Goaltenders,73,,,,Bowling Green,CCHA,Bowling-Green
,30,"Stoever, Christian",Fr,6-3,175,4/16/2000,"Northville, Mich.",Goaltenders,75,,,,New Jersey,NAHL,Bowling-Green
,23,"Berger, Carter",Jr,6-0,195,9/17/1999,"North Vancouver, B.C.",Defensemen,72,2019,FLA,4,Connecticut,HEA,Connecticut
,16,"Flynn, Jake",Jr,6-0,180,5/26/2001,"Bridgewater, Mass.",Defensemen,72,,,,Thayer Academy,PREP,Connecticut
,60,"Gourley, Jarrod",Sr,6-2,212,6/29/1999,"Calgary, Alb.",Defensemen,74,,,,Spruce Grove,AJHL,Connecticut
,4,"Kinal, Roman",Jr,6-2,190,7/20/1998,"Waterford, Mich.",Defensemen,74,,,,Dubuque,USHL,Connecticut
,5,"Metcalfe, Aidan",Fr,6-3,190,1/24/2000,"Palos Verdes, Calif.",Defensemen,75,,,,Shreveport,NAHL,Connecticut
,27,"Rees, Harrison",Jr,6-2,175,3/19/2000,"Oakville, Ont.",Defensemen,74,,,,North York,OJHL,Connecticut
,18,"Spetz, John",So,5-10,195,12/1/1999,"Oak Ridge, N.J.",Defensemen,70,,,,Chicago,USHL,Connecticut
,29,"Veilleux, Jake",Fr,6-0,185,1/19/2000,"South Windsor, Conn.",Defensemen,72,,,,Victoria,BCHL,Connecticut
,6,"Wheeler, Ryan",Sr,6-0,190,8/24/1997,"Lancaster, N.Y.",Defensemen,72,,,,New Jersey,NAHL,Connecticut
,9,"Bowes, Cassidy",So,5-10,185,2/17/1999,"Kelowna, B.C.",Forwards,70,,,,Penticton ,BCHL,Connecticut
,20,"Bradley, Chase",Fr,5-11,180,1/9/2002,"St. Louis, Mo.",Forwards,71,2020,DET,7,Sioux City,USHL,Connecticut
,21,"Capone, Nick",So,6-2,205,12/17/2001,"East Haven, Conn.",Forwards,74,2020,TBL,6,Tri-City,USHL,Connecticut
,7,"Evans, Jonny",Sr,5-9,170,5/1/1997,"North Delta, B.C.",Forwards,69,,,,Powell,BCHL,Connecticut
,10,"Firstov, Vladislav",Jr,6-1,185,6/19/2001,"Yaroslavl, Russia",Forwards,73,2019,MIN,2,Muskegon,USHL,Connecticut
,17,"Gatcomb, Marc",Sr,6-2,195,7/22/1999,"Woburn, Mass.",Forwards,74,,,,The Gunnery,PREP,Connecticut
,11,"Kondelik, Jachym",Sr,6-5,225,12/21/1999,"Budějovice, Czech Republic",Forwards,77,2018,NSH,4,Muskegon,USHL,Connecticut
,19,"O'Neil, Kevin",Sr,5-11,180,2/23/1998,"Latham, N.Y.",Forwards,71,,,,Yale,ECAC,Connecticut
,12,"Puskar, Gavin",So,6-2,180,6/21/2001,"Farmington, Conn.",Forwards,74,,,,UConn,HEA,Connecticut
,22,"Schandor, Hudson",So,5-8,165,9/29/2000,"North Vancouver, B.C.",Forwards,68,,,,Surrey,BCHL,Connecticut
,32,"Shlaine, Artem",So,6-1,175,3/17/2002,"Moscow, Russia",Forwards,73,2020,NJD,5,Connecticut,HEA,Connecticut
,24,"Teleguine, Sasha",Fr,5-10,180,9/17/2002,"North Attleborough, Mass.",Forwards,70,,,,Connecticut,HEA,Connecticut
,8,"Turnbull, Carter (C)",Sr,5-8,180,9/8/1998,"Nanaimo, B.C.",Forwards,68,,,,Powell,BCHL,Connecticut
,28,"Tverberg, Ryan",So,5-11,180,1/30/2002,"Richmond Hill, Ont.",Forwards,71,2020,TOR,7,Toronto Jr. Canadians,OJHL,Connecticut
,13,"Wojciechowski, John",Sr,6-3,210,2/18/1998,"Mamaroneck, N.Y.",Forwards,75,,,,Langley,BCHL,Connecticut
,33,"Hanson, Darion",Sr,6-3,180,5/19/1997,"East Bethel, Minn.",Goaltenders,75,,,,Union,ECAC,Connecticut
,1,"Keane, Ryan",Jr,5-9,160,3/15/1998,"Coppell, Texas",Goaltenders,69,,,,Jamestown,NAHL,Connecticut
,31,"Pasquale, Matt",So,6-2,190,10/6/2000,"North Reading, Mass.",Goaltenders,74,,,,Northeast,NAHL,Connecticut
,35,"Terness, Logan",Fr,6-1,185,9/18/2002,"Burnaby, B.C.",Goaltenders,73,,,,Connecticut,HEA,Connecticut
,3,"Bunz, Davis",Sr,6-1,180,9/4/1998,"Middleton, Wis.",Defensemen,73,,,,Central Illinois,USHL,Providence
,23,"Callahan, Michael",Sr,6-2,195,9/23/1999,"Franklin, Mass.",Defensemen,74,2018,ARI,5,Youngstown,USHL,Providence
,24,"Crozier, Max",Jr,6-2,185,4/19/2000,"Calgary, Alb.",Defensemen,74,2019,TBL,4,Sioux Falls,USHL,Providence
,27,"Harding, Taige",Fr,6-7,235,1/3/2002,"St. Albert, Alb.",Defensemen,79,2021,CHI,3,Fort McMurray,AJHL,Providence
,2,"Johnson, Luke",Jr,5-11,173,1/7/1999,"Edina, Minn.",Defensemen,71,,,,Providence,HEA,Providence
,16,"Koopman, Kyle",Sr,5-11,185,5/1/1998,"Marblehead, Mass.",Defensemen,71,,,,West Kelowna,BCHL,Providence
,6,"McDonald, Cam",Jr,5-9,175,2/3/2001,"Eagle River, Alaska",Defensemen,69,,,,Muskegon,USHL,Providence
,25,"Perunovich, Luke",Sr,6-1,185,5/12/1997,"Edina, Minn.",Defensemen,73,,,,Providence,HEA,Providence
,4,"Richard, Guillaume",Fr,6-2,175,2/10/2003,"Québec, Que.",Defensemen,74,2021,CBJ,4,Tri-City,USHL,Providence
,22,"Ruikka, Uula",So,5-9,170,5/28/2000,"Oulu, Finland",Defensemen,69,,,,Providence,HEA,Providence
,29,"Schimek, Will",Fr,6-2,200,5/22/2001,"Mendota Heights, Minn.",Defensemen,74,,,,Sioux Falls,USHL,Providence
,21,"Berard, Brett",So,5-9,165,9/9/2002,"East Greenwich, R.I.",Forwards,69,2020,NYR,5,USA U-18 Team,NTDP,Providence
,11,"Citara, Michael",Fr,5-10,160,4/22/2002,"New Hope, Pa.",Forwards,70,,,,Providence,HEA,Providence
,28,"Devine, Garrett",Jr,6-1,195,11/25/1997,"Windsor, Colo.",Forwards,73,,,,South Shore,USPHL,Providence
,8,"Duran, Riley",Fr,6-2,180,1/25/2002,"Woburn, Mass.",Forwards,74,2020,BOS,6,Youngstown,USHL,Providence
,18,"Engelbert, Jamie",Jr,6-4,205,6/21/2000,"Cobourg, Ont.",Forwards,76,,,,Cobourg,OJHL,Providence
,26,"Esposito, Alex",Sr,6-0,190,6/3/1996,"West Haven, Conn.",Forwards,72,,,,Vermont,HEA,Providence
,20,"Ford, Parker",Jr,5-9,180,7/20/2000,"Wakefield, R.I.",Forwards,69,,,,Sioux City,USHL,Providence
,14,"Koopman, Matt",Sr,5-10,180,5/1/1998,"Marblehead, Mass.",Forwards,70,,,,Providence,HEA,Providence
,15,"Mazura, Tomáš",Fr,6-3,190,9/23/2000,"Pardubice, Czech Republic",Forwards,75,2019,EDM,6,Providence,,Providence
,19,"Monds, Cody",Fr,5-9,170,2/9/2001,"Brockville, Ont.",Forwards,69,,,,Providence,HEA,Providence
,9,"Moynihan, Patrick",Jr,5-11,185,1/23/2001,"Millis, Mass.",Forwards,71,2019,NJD,6,Providence,HEA,Providence
,13,"Needham, Craig",Jr,5-10,180,3/31/1999,"Medford, Mass.",Forwards,70,,,,Youngstown,USHL,Providence
,10,"Olischefski, Kohen",Sr,6-2,181,2/1/1998,"Abbotsford, B.C.",Forwards,74,,,,Denver,NCHC,Providence
,12,"Poisson, Nick",So,5-11,185,8/15/2001,"Vancouver, B.C.",Forwards,71,,,,Prince George,BCHL,Providence
,17,"Yoder, Chase",So,5-11,185,5/28/2002,"Fairview, Texas",Forwards,71,2020,PIT,6,USA U-18 Team,NTDP,Providence
,31,"Cain, Austin",Sr,6-3,185,9/12/1996,"Ottawa, Ont.",Goaltenders,75,,,,Western Michigan,NCHC,Providence
,1,"Scannell, Jimmy",Sr,6-0,170,6/13/1999,"Medfield, Mass.",Goaltenders,72,,,,Thayer Academy,PREP,Providence
,30,"Stauber, Jaxson",Jr,6-3,175,4/27/1999,"Plymouth, Minn.",Goaltenders,75,,,,Minnesota State,WCHA,Providence
,4,"Anhorn, Dylan",Jr,6-0,183,1/21/1999,"Calgary, Alb.",Defensemen,72,,,,Union,ECAC,Union
,7,"Estes, Brandon",Sr,6-0,185,2/13/1997,"Richardson, Texas",Defensemen,72,,,,Youngstown,USHL,Union
,6,"Ferguson, Cullen",Fr,6-0,185,2/16/2001,"Binbrook, Ont.",Defensemen,72,,,,Aberdeen,NAHL,Union
,12,"Fineman, Fletcher",Sr,6-3,197,2/17/1999,"Lake Worth, Fla.",Defensemen,75,,,,Springfield,NAHL,Union
,26,"Kelly, Nathan",So,6-0,185,11/22/2000,"South Delta, B.C.",Defensemen,72,,,,Chilliwack,BCHL,Union
,5,"Petruolo, Nic",So,6-2,195,1/29/2000,"Neshanic Station, N.J.",Defensemen,74,,,,Union,ECAC,Union
,2,"Phillips, Josh",Fr,6-2,190,5/24/2001,"Getzville, N.Y.",Defensemen,74,,,,Minnesota,NAHL,Union
,21,"Ryan, Michael",Sr,5-10,175,1/19/1997,"Marion, Mass.",Defensemen,70,,,,West Kelowna,BCHL,Union
,10,"Sidorski, Ryan",Sr,6-2,215,10/2/1999,"Williamsville, N.Y.",Defensemen,74,,,,Union,ECAC,Union
,23,"Adams, Trevor",So,5-9,165,8/19/1999,"Muskegon, Mich.",Forwards,69,,,,Chilliwack,BCHL,Union
,17,"Allen, Matt",Jr,6-2,185,3/14/1999,"Smithfield, R.I.",Forwards,74,,,,Union,ECAC,Union
,24,"Cohen, Alex",Jr,6-0,180,6/15/1998,"Boca Raton, Fla.",Forwards,72,,,,Northeast,NAHL,Union
,25,"Farris, Owen",Jr,6-3,212,6/8/2000,"Dallas, Texas",Forwards,75,,,,Muskegon,USHL,Union
,20,"Graf, Collin",Fr,6-0,180,9/21/2002,"Lincoln, Mass.",Forwards,72,,,,Union,ECAC,Union
,29,"Hodge, Michael",Fr,5-8,157,5/30/2000,"Calgary, Alb.",Forwards,68,,,,Union,ECAC,Union
,18,"Immonen, Ville",So,6-2,205,6/18/1999,"Seinajoki, Finland",Forwards,74,,,,Minot,NAHL,Union
,27,"Kosack, Josh",Sr,6-0,185,6/25/1997,"Oakville, Ont.",Forwards,72,,,,Green Bay,USHL,Union
,9,"Murtazin, Gleb",So,6-3,205,10/26/2000,"Penza, Russia",Forwards,75,,,,Amarillo,NAHL,Union
,15,"Richter, Thomas",Fr,6-1,175,6/6/2000,"Greenwich, Conn.",Forwards,73,,,,Penticton,BCHL,Union
,19,"Robertson, Liam",Jr,6-2,170,5/14/2000,"Courtice, Ont.",Forwards,74,,,,Youngstown,USHL,Union
,16,"Sanda, Christian",Jr,6-0,185,3/13/1998,"Vadnais Heights, Minn.",Forwards,72,,,,Union,ECAC,Union
,22,"Scheerer, Bram",So,6-3,205,6/3/1999,"Edina, Minn.",Forwards,75,,,,Minnesota,NAHL,Union
,14,"Seaman, Andrew",Fr,5-10,170,4/21/2000,"Winnetka, Ill.",Forwards,70,,,,Prince George ,BCHL,Union
,11,"Seger, Gabriel",Jr,6-4,210,11/15/1999,"Uppsala, Sweden",Forwards,76,,,,Union,ECAC,Union
,8,"Smedsrud, Chaz",Jr,6-2,195,6/4/1998,"Luverne, Minn.",Forwards,74,,,,Madison,USHL,Union
,28,"Villegas, Caden",Fr,5-8,165,2/19/2001,"Plano, Texas",Forwards,68,,,,Tri-City,USHL,Union
,13,"Watkins, Tyler",So,5-9,175,12/19/1999,"Hermantown, Minn.",Forwards,69,,,,Minnesota,NAHL,Union
,31,"Murphy, Connor",Jr,6-4,200,9/1/1998,"Hudson Falls, N.Y.",Goaltenders,76,,,,Northeastern,HEA,Union
,1,"Nieto, Garrett",Jr,6-3,245,5/15/1998,"Yorba Linda, Calif.",Goaltenders,75,,,,Janesville,NAHL,Union
,33,"Pipes, Merek",Jr,5-11,170,11/12/1998,"Cobble Hill, B.C.",Goaltenders,71,,,,Swan Valley,MJHL,Union
,35,"Sharib, Joe",Fr,5-11,165,8/16/2001,"Natick, Mass.",Goaltenders,71,,,,Connecticut ,NCDC,Union
,3,"Ferrandino, Michael",Fr,5-10,180,3/17/2000,"Lisle, Ill.",Defensemen,70,,,,Green Bay,USHL,St-Thomas
,18,"Gauer, Ethan",Fr,6-0,185,12/23/1999,"Farmington, Mich.",Defensemen,72,,,,Bemidji State,WCHA,St-Thomas
,28,"Johnson, Kimball",So,6-0,185,6/23/1999,"Coppell, Texas",Defensemen,72,,,,Minnesota,NAHL,St-Thomas
,25,"Ledonne, Trevor",Fr,6-1,195,2/27/2000,"Stoney Creek, Ont.",Defensemen,73,,,,St. Thomas,CCHA,St-Thomas
,14,"Monahan, Shayne",Sr,6-0,185,9/20/1997,"Lakeville, Minn.",Defensemen,72,,,,Syracuse,NCDC,St-Thomas
,4,"Sawchuk, Nolan",Jr,5-11,185,9/25/1997,"Burnsville, Minn.",Defensemen,71,,,,UMass Lowell,HEA,St-Thomas
